Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-19-22-52,451,421.3,0
2023-03-17-19-22-52,427,425.4,0
2023-03-17-19-22-52,425,425.7,0
2023-03-17-19-22-52,452,427.5,0
2023-03-17-19-22-52,480,433.2,0
2023-03-17-19-22-52,473,440.2,0
2023-03-17-19-22-52,439,444.8,0
2023-03-17-19-22-52,418,446.3,0
2023-03-17-19-22-52,432,445.9,0
2023-03-17-19-22-52,464,446.1,0
2023-03-17-19-22-52,475,448.5,0
2023-03-17-19-22-52,463,452.1,0
2023-03-17-19-22-52,456,455.2,0
2023-03-17-19-22-52,455,455.5,0
2023-03-17-19-22-53,466,454.1,0
2023-03-17-19-22-53,485,455.3,0
2023-03-17-19-22-53,494,460.8,0
2023-03-17-19-22-53,492,468.2,0
2023-03-17-19-22-53,504,475.4,0
2023-03-17-19-22-53,522,481.2,0
2023-03-17-19-22-53,532,486.9,0
2023-03-17-19-22-53,537,494.3,0
2023-03-17-19-22-53,541,502.8,0
2023-03-17-19-22-53,548,512.1,0
2023-03-17-19-22-53,560,521.5,0
2023-03-17-19-22-53,575,530.5,0
2023-03-17-19-22-53,582,539.3,0
2023-03-17-19-22-53,580,548.1,0
2023-03-17-19-22-53,579,555.6,0
2023-03-17-19-22-53,596,563,0
2023-03-17-19-22-53,619,571.7,0
2023-03-17-19-22-54,635,581.5,0
2023-03-17-19-22-54,638,591.2,0
2023-03-17-19-22-54,632,599.6,0
2023-03-17-19-22-54,631,606.7,0
2023-03-17-19-22-54,645,613.7,0
2023-03-17-19-22-54,661,621.6,0
2023-03-17-19-22-54,665,630.1,0
2023-03-17-19-22-54,661,638.3,0
2023-03-17-19-22-54,652,643.9,0
2023-03-17-19-22-54,644,646.4,0
2023-03-17-19-22-54,643,647.2,0
2023-03-17-19-22-54,643,647.7,0
2023-03-17-19-22-54,636,648.1,0
2023-03-17-19-22-54,629,647.9,0
2023-03-17-19-22-54,630,646.4,0
2023-03-17-19-22-54,633,643.6,0
2023-03-17-19-22-54,630,640.1,0
2023-03-17-19-22-55,621,636.1,0
2023-03-17-19-22-55,616,632.5,0
2023-03-17-19-22-55,620,630.1,0
