Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-38-25,54,56.6,0
2023-03-17-18-38-25,67,54.9,0
2023-03-17-18-38-25,71,54.9,0
2023-03-17-18-38-26,81,57.1,0
2023-03-17-18-38-26,92,59.9,0
2023-03-17-18-38-26,105,64.8,0
2023-03-17-18-38-26,105,69.9,0
2023-03-17-18-38-26,98,75.3,0
2023-03-17-18-38-26,100,81.4,0
2023-03-17-18-38-26,110,88.3,0
2023-03-17-18-38-26,114,94.3,0
2023-03-17-18-38-26,110,98.6,0
2023-03-17-18-38-26,101,101.6,0
2023-03-17-18-38-26,100,103.5,0
2023-03-17-18-38-26,110,105.3,0
2023-03-17-18-38-26,116,106.4,0
2023-03-17-18-38-26,104,106.3,0
2023-03-17-18-38-26,85,105,0
2023-03-17-18-38-26,79,102.9,0
2023-03-17-18-38-26,90,100.9,0
2023-03-17-18-38-27,96,99.1,0
2023-03-17-18-38-27,96,97.7,0
2023-03-17-18-38-27,93,96.9,0
2023-03-17-18-38-27,97,96.6,0
2023-03-17-18-38-27,100,95.6,0
