Timestamp,SensorData,AvgValue,PotholeDetected
2023-03-17-18-46-25,175,193.1,0
2023-03-17-18-46-25,162,187.9,0
2023-03-17-18-46-25,171,184.2,0
2023-03-17-18-46-25,177,181.1,0
2023-03-17-18-46-25,171,178.7,0
2023-03-17-18-46-25,161,176.8,0
2023-03-17-18-46-25,149,173.6,0
2023-03-17-18-46-26,150,169.8,0
2023-03-17-18-46-26,155,165.6,0
2023-03-17-18-46-26,166,163.7,0
2023-03-17-18-46-26,169,163.1,0
2023-03-17-18-46-26,167,163.6,0
2023-03-17-18-46-26,158,162.3,0
2023-03-17-18-46-26,154,160,0
2023-03-17-18-46-26,157,158.6,0
2023-03-17-18-46-26,165,159,0
2023-03-17-18-46-26,173,161.4,0
2023-03-17-18-46-26,169,163.3,0
2023-03-17-18-46-26,160,163.8,0
2023-03-17-18-46-26,153,162.5,0
2023-03-17-18-46-26,158,161.4,0
2023-03-17-18-46-26,167,161.4,0
2023-03-17-18-46-26,163,161.9,0
2023-03-17-18-46-26,153,161.8,0
2023-03-17-18-46-27,143,160.4,0
2023-03-17-18-46-27,142,158.1,0
2023-03-17-18-46-27,141,154.9,0
2023-03-17-18-46-27,138,151.8,0
2023-03-17-18-46-27,140,149.8,0
2023-03-17-18-46-27,146,149.1,0
2023-03-17-18-46-27,155,148.8,0
2023-03-17-18-46-27,161,148.2,0
2023-03-17-18-46-27,170,148.9,0
2023-03-17-18-46-27,166,150.2,0
2023-03-17-18-46-27,169,152.8,0
2023-03-17-18-46-27,187,157.3,0
2023-03-17-18-46-27,191,162.3,0
2023-03-17-18-46-27,190,167.5,0
2023-03-17-18-46-27,190,172.5,0
2023-03-17-18-46-27,188,176.7,0
2023-03-17-18-46-27,190,180.2,0
2023-03-17-18-46-28,198,183.9,0
2023-03-17-18-46-28,205,187.4,0
